state,district,label,modal_price
Andaman and Nicobar,South Andaman,amaranthus,7000
Andaman and Nicobar,South Andaman,banana - green,5000
Andaman and Nicobar,South Andaman,bhindi(ladies finger),7000
Andaman and Nicobar,South Andaman,bitter gourd,7000
Andaman and Nicobar,South Andaman,black pepper,120000
Andaman and Nicobar,South Andaman,bottle gourd,3500
Andaman and Nicobar,South Andaman,brinjal,7500
Andaman and Nicobar,South Andaman,cabbage,6500
Andaman and Nicobar,South Andaman,carrot,10000
Andaman and Nicobar,South Andaman,cauliflower,11000
Andaman and Nicobar,South Andaman,cluster beans,9000
Andaman and Nicobar,South Andaman,coconut,5600
Andaman and Nicobar,South Andaman,colacasia,6000
Andaman and Nicobar,South Andaman,onion,3000
Andaman and Nicobar,South Andaman,potato,3000
Andhra Pradesh,Chittor,tomato,620
Andhra Pradesh,Chittor,tomato,300
Andhra Pradesh,Chittor,tomato,760
Andhra Pradesh,Kurnool,bengal gram(gram)(whole),4600
Andhra Pradesh,Kurnool,jowar(sorghum),1900
Andhra Pradesh,Kurnool,paddy(dhan)(common),1950
Andhra Pradesh,West Godavari,paddy(dhan)(common),1760
Assam,Cachar,lentil (masur)(whole),7000
Assam,Cachar,rice,2400
Assam,Cachar,rice,2800
Assam,Darrang,bitter gourd,6400
Assam,Darrang,bottle gourd,850
Assam,Darrang,brinjal,850
Assam,Darrang,cabbage,350
Assam,Darrang,carrot,1050
Assam,Darrang,cauliflower,1450
Assam,Darrang,cluster beans,4100
Assam,Darrang,cucumbar(kheera),1550
Assam,Darrang,field pea,2900
Assam,Darrang,french beans (frasbean),2250
Assam,Darrang,green chilli,3600
Assam,Darrang,knool khol,950
Assam,Darrang,potato,650
Assam,Darrang,pumpkin,650
Assam,Darrang,raddish,850
Assam,Darrang,tomato,1150
Assam,Dhubri,black gram (urd beans)(whole),4400
Assam,Dhubri,green gram (moong)(whole),6400
Assam,Dhubri,jute,2800
Assam,Dhubri,maida atta,2370
Assam,Dhubri,mustard,2400
Assam,Dhubri,rice,4500
Assam,Dhubri,rice,2500
Assam,Dhubri,wheat atta,2300
Assam,Jorhat,garlic,5000
Assam,Jorhat,green gram (moong)(whole),6600
Assam,Jorhat,masur dal,6200
Assam,Jorhat,onion,1200
Assam,Jorhat,potato,550
Assam,Jorhat,rice,3200
Assam,Jorhat,wheat atta,2800
Assam,Kamrup,bitter gourd,5500
Assam,Kamrup,brinjal,1300
Assam,Kamrup,cabbage,500
Assam,Kamrup,carrot,1000
Assam,Kamrup,cauliflower,1900
Assam,Kamrup,cucumbar(kheera),2000
Assam,Kamrup,garlic,4500
Assam,Kamrup,green chilli,1600
Assam,Kamrup,onion,1100
Assam,Kamrup,potato,700
Assam,Kamrup,pumpkin,900
Assam,Kamrup,raddish,1100
Assam,Kamrup,ridgeguard(tori),4100
Assam,Kamrup,tomato,1450
Assam,Sonitpur,arecanut(betelnut/supari),2200
Assam,Sonitpur,arhar (tur/red gram)(whole),5850
Assam,Sonitpur,brinjal,750
Assam,Sonitpur,cabbage,700
Assam,Sonitpur,green chilli,2000
Assam,Sonitpur,jute,3900
Assam,Sonitpur,maize,1800
Assam,Sonitpur,mustard,4100
Assam,Sonitpur,rice,2400
Assam,Sonitpur,rice,2800
Chattisgarh,Bastar,dry chillies,4200
Chattisgarh,Kanker,paddy(dhan)(common),1500
Chattisgarh,Kanker,paddy(dhan)(common),1500
Chattisgarh,Kanker,paddy(dhan)(common),1500
Chattisgarh,Surajpur,groundnut,4900
Goa,North Goa,arecanut(betelnut/supari),19500
Goa,North Goa,arecanut(betelnut/supari),22250
Goa,North Goa,arecanut(betelnut/supari),20500
Gujarat,Amreli,bhindi(ladies finger),1550
Gujarat,Amreli,brinjal,1100
Gujarat,Amreli,capsicum,1300
Gujarat,Amreli,guar,1600
Gujarat,Amreli,lemon,1300
Gujarat,Anand,bajra(pearl millet/cumbu),2080
Gujarat,Anand,bajra(pearl millet/cumbu),2015
Gujarat,Anand,castor seed,4870
Gujarat,Bharuch,bhindi(ladies finger),3425
Gujarat,Bharuch,bottle gourd,1850
Gujarat,Bharuch,brinjal,650
Gujarat,Bharuch,cabbage,925
Gujarat,Bharuch,capsicum,2600
Gujarat,Bharuch,carrot,825
Gujarat,Bharuch,cauliflower,1100
Gujarat,Bharuch,coriander(leaves),825
Gujarat,Bharuch,cowpea(veg),3425
Gujarat,Bharuch,cucumbar(kheera),2175
Gujarat,Bharuch,drumstick,3475
Gujarat,Bharuch,elephant yam (suran),2825
Gujarat,Bharuch,ginger(green),6100
Gujarat,Bharuch,green chilli,3000
Gujarat,Bharuch,indian beans (seam),1450
Gujarat,Bharuch,lemon,3700
Gujarat,Bharuch,methi(leaves),825
Gujarat,Bharuch,onion green,1225
Gujarat,Bharuch,peas cod,1325
Gujarat,Bharuch,pegeon pea (arhar fali),3475
Gujarat,Bharuch,sponge gourd,1500
Gujarat,Bharuch,surat beans (papadi),2450
Gujarat,Bharuch,sweet potato,2900
Gujarat,Bharuch,tinda,3150
Gujarat,Bharuch,tomato,1425
Gujarat,Kachchh,guar seed(cluster beans seed),4010
Gujarat,Kheda,potato,700
Gujarat,Kheda,sweet potato,1450
Gujarat,Panchmahals,arhar (tur/red gram)(whole),4850
Gujarat,Panchmahals,cotton,4550
Gujarat,Panchmahals,maize,1900
Gujarat,Panchmahals,paddy(dhan)(common),1525
Gujarat,Panchmahals,wheat,1900
Gujarat,Panchmahals,bajra(pearl millet/cumbu),1800
Gujarat,Panchmahals,maize,1850
Gujarat,Panchmahals,paddy(dhan)(common),1425
Gujarat,Surat,brinjal,1150
Gujarat,Surat,cabbage,1100
Gujarat,Surat,tomato,1300
Gujarat,Surat,bhindi(ladies finger),3755
Gujarat,Surat,brinjal,1182
Gujarat,Surat,cowpea(veg),2927
Gujarat,Surat,paddy(dhan)(common),1475
Gujarat,Surat,pegeon pea (arhar fali),3005
Gujarat,Surat,surat beans (papadi),3147
Gujarat,Surat,tomato,1387
Gujarat,Surat,bhindi(ladies finger),3755
Gujarat,Surat,brinjal,1182
Gujarat,Surat,cowpea(veg),2927
Gujarat,Surat,paddy(dhan)(common),1475
Gujarat,Surat,pegeon pea (arhar fali),3005
Gujarat,Surat,surat beans (papadi),3147
Gujarat,Surat,tomato,1387
Gujarat,Surat,bitter gourd,5025
Gujarat,Surat,bottle gourd,1050
Gujarat,Surat,brinjal,650
Gujarat,Surat,cabbage,950
Gujarat,Surat,cauliflower,2250
Gujarat,Surat,cucumbar(kheera),2500
Gujarat,Surat,gram raw(chholia),2000
Gujarat,Surat,guar,5200
Gujarat,Surat,little gourd (kundru),3350
Gujarat,Surat,paddy(dhan)(common),1697
Gujarat,Surat,pegeon pea (arhar fali),2850
Gujarat,Surat,ridgeguard(tori),2750
Gujarat,Surat,round gourd,1400
Gujarat,Surat,tomato,1300
Gujarat,Vadodara(Baroda),cotton,5400
Gujarat,Vadodara(Baroda),cotton,5400
Gujarat,Vadodara(Baroda),cotton,5400
Gujarat,Vadodara(Baroda),cotton,5400
Gujarat,Vadodara(Baroda),bhindi(ladies finger),3800
Gujarat,Vadodara(Baroda),bitter gourd,3800
