N,P,K,temperature,humidity,ph,rainfall,label,state,district,modal_price
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Assam,Cachar,2400
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Assam,Cachar,2800
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Assam,Dhubri,4500
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Assam,Dhubri,2500
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Assam,Jorhat,3200
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Assam,Sonitpur,2400
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Assam,Sonitpur,2800
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Manipur,Bishnupur,3700
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Manipur,Chandel,3500
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Manipur,Imphal East,4100
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Manipur,Imphal West,3800
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Manipur,Thoubal,3900
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Odisha,Mayurbhanja,2200
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Odisha,Sundergarh,3000
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Tripura,North Tripura,2600
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Agra,2540
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Agra,2300
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Agra,2540
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Agra,2540
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Bahraich,2150
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Ballia,2100
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Chitrakut,1775
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Ghaziabad,2670
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Kannuj,2500
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Lakhimpur,2250
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Mau(Maunathbhanjan),2000
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Mirzapur,2320
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Muzaffarnagar,2700
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Muzaffarnagar,3900
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Uttar Pradesh,Sonbhadra,2240
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Bankura,2650
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Bankura,2850
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Bankura,2650
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Burdwan,3000
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Burdwan,2300
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Burdwan,2300
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Burdwan,3000
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Burdwan,2250
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Burdwan,2300
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Hooghly,2850
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Malda,3200
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Malda,2700
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Medinipur(W),2550
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Medinipur(W),2400
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Murshidabad,2700
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Murshidabad,2900
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Nadia,3800
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Puruliya,2640
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Puruliya,2600
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Sounth 24 Parganas,2800
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Sounth 24 Parganas,4400
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Uttar Dinajpur,3600
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,West Bengal,Uttar Dinajpur,3500
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Assam,Cachar,2400
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Assam,Cachar,2800
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Assam,Dhubri,4500
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Assam,Dhubri,2500
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Assam,Jorhat,3200
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Assam,Sonitpur,2400
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Assam,Sonitpur,2800
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Manipur,Bishnupur,3700
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Manipur,Chandel,3500
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Manipur,Imphal East,4100
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Manipur,Imphal West,3800
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Manipur,Thoubal,3900
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Odisha,Mayurbhanja,2200
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Odisha,Sundergarh,3000
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Tripura,North Tripura,2600
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Agra,2540
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Agra,2300
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Agra,2540
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Agra,2540
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Bahraich,2150
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Ballia,2100
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Chitrakut,1775
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Ghaziabad,2670
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Kannuj,2500
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Lakhimpur,2250
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Mau(Maunathbhanjan),2000
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Mirzapur,2320
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Muzaffarnagar,2700
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Muzaffarnagar,3900
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Uttar Pradesh,Sonbhadra,2240
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Bankura,2650
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Bankura,2850
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Bankura,2650
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Burdwan,3000
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Burdwan,2300
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Burdwan,2300
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Burdwan,3000
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Burdwan,2250
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Burdwan,2300
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Hooghly,2850
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Malda,3200
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Malda,2700
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Medinipur(W),2550
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Medinipur(W),2400
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Murshidabad,2700
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Murshidabad,2900
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Nadia,3800
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Puruliya,2640
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Puruliya,2600
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,West Bengal,Sounth 24 Parganas,2800
